screen,candidate,development_seeds,primary_metric,primary_metric_mean,secondary_metric,secondary_metric_mean,decision,interpretation
utility_model_family,LogisticRegression,1,balanced_accuracy,0.83177,,,retained,fixed utility linear probe
utility_model_family,XGBoost,1,balanced_accuracy,0.775427,,,comparison,development comparator
linkability_model_family,LogisticRegression,1,roc_auc,0.99619,,,comparison,development comparator
linkability_model_family,XGBoost,1,roc_auc,0.998343,,,retained,fixed nonlinear linkability attacker
encoder_dimension,8-D,2,utility_balanced_accuracy,0.8704515095524971,linkability_roc_auc,0.8941805,retained,smallest screened bottleneck with near-maximum utility and weakest linkability
encoder_dimension,16-D,2,utility_balanced_accuracy,0.8688200488416229,linkability_roc_auc,0.9118166249999999,comparison,development comparator
encoder_dimension,32-D,2,utility_balanced_accuracy,0.8727149214304452,linkability_roc_auc,0.93480975,comparison,development comparator
gaussian_operating_point,encoder_dp_gaussian_eps100_clip2,3,utility_balanced_accuracy,0.8536299993822535,pairwise_linkability_roc_auc,0.8601907500000001,comparison,weaker-noise development comparator
gaussian_operating_point,encoder_dp_gaussian_eps20_clip4,3,utility_balanced_accuracy,0.7019249126873496,pairwise_linkability_roc_auc,0.534624,comparison,utility-degrading development boundary
gaussian_operating_point,encoder_dp_gaussian_eps50_clip2,3,utility_balanced_accuracy,0.833546504375406,pairwise_linkability_roc_auc,0.8083858333333334,retained,high-utility operating point
gaussian_operating_point,encoder_dp_gaussian_eps50_clip4,3,utility_balanced_accuracy,0.8115040063142306,pairwise_linkability_roc_auc,0.7227955416666667,retained,stronger-perturbation operating point
gaussian_operating_point,encoder_identity,3,utility_balanced_accuracy,0.8650374891984954,pairwise_linkability_roc_auc,0.8822987083333333,reference,unperturbed encoder reference
