contrast_order,contrast,short_label,metric,n_paired_seeds,df,paired_mean_difference,paired_sd,paired_se,ci_level,ci_low,ci_high
1,PCA 8-D minus raw handcrafted,"PCA, 8-D - Raw",segment_balanced_accuracy,3,2,-0.15536480447001208,0.006572591117895769,0.0037946872511904657,0.95,-0.17169202592968988,-0.13903758301033428
1,PCA 8-D minus raw handcrafted,"PCA, 8-D - Raw",record_balanced_accuracy,3,2,-0.17361795764177382,0.006509942264937866,0.0037585169190707994,0.95,-0.18978955072322293,-0.1574463645603247
1,PCA 8-D minus raw handcrafted,"PCA, 8-D - Raw",pairwise_linkability_roc_auc,3,2,-0.033479750000000065,0.003134646192156305,0.001809788822855678,0.95,-0.04126664281883362,-0.025692857181166515
2,Random projection 8-D minus raw handcrafted,"Random projection, 8-D - Raw",segment_balanced_accuracy,3,2,-0.18824039653570823,0.014241404112698511,0.008222278498104729,0.95,-0.22361800555990044,-0.15286278751151602
2,Random projection 8-D minus raw handcrafted,"Random projection, 8-D - Raw",record_balanced_accuracy,3,2,-0.1823667926524232,0.017263532464171307,0.009967105115353148,0.95,-0.2252517846841658,-0.1394818006206806
2,Random projection 8-D minus raw handcrafted,"Random projection, 8-D - Raw",pairwise_linkability_roc_auc,3,2,-0.18493700000000002,0.032796807054002994,0.018935245381188848,0.95,-0.2664087852268385,-0.10346521477316156
3,Supervised encoder 8-D minus raw handcrafted,"Encoder, 8-D - Raw",segment_balanced_accuracy,3,2,0.032879496946290145,0.0023080827437021996,0.001332572193388395,0.95,0.02714590156089039,0.0386130923316899
3,Supervised encoder 8-D minus raw handcrafted,"Encoder, 8-D - Raw",record_balanced_accuracy,3,2,0.03816306551144225,0.00391500115085274,0.002260326968322524,0.95,0.02843766351118354,0.04788846751170096
3,Supervised encoder 8-D minus raw handcrafted,"Encoder, 8-D - Raw",pairwise_linkability_roc_auc,3,2,-0.1161565833333333,0.024958294052695874,0.0144096777898378,0.95,-0.17815642280982077,-0.05415674385684582
4,Gaussian C=2 minus supervised encoder 8-D,Gaussian C=2 - Encoder,segment_balanced_accuracy,3,2,-0.02569779003848997,0.0046333415605186775,0.0026750609972129393,0.95,-0.03720764854025191,-0.014187931536728033
4,Gaussian C=2 minus supervised encoder 8-D,Gaussian C=2 - Encoder,record_balanced_accuracy,3,2,-0.0033560230477004036,0.0009148301828522035,0.0005281774523325142,0.95,-0.00562858720474285,-0.0010834588906579574
4,Gaussian C=2 minus supervised encoder 8-D,Gaussian C=2 - Encoder,pairwise_linkability_roc_auc,3,2,-0.07508775000000005,0.0030781665504809237,0.001777180286530663,0.95,-0.08273433961100338,-0.06744116038899672
5,Gaussian C=4 minus supervised encoder 8-D,Gaussian C=4 - Encoder,segment_balanced_accuracy,3,2,-0.058007936475962106,0.009030950049557418,0.00521402144215004,0.95,-0.08044206006672319,-0.03557381288520102
5,Gaussian C=4 minus supervised encoder 8-D,Gaussian C=4 - Encoder,record_balanced_accuracy,3,2,-0.010632614157445505,0.003415924818524154,0.0019721851135064443,0.95,-0.019118241819540104,-0.002146986495350908
5,Gaussian C=4 minus supervised encoder 8-D,Gaussian C=4 - Encoder,pairwise_linkability_roc_auc,3,2,-0.1591259583333334,0.019641309771409234,0.01133991548375995,0.95,-0.2079176766440567,-0.11033424002261011
