task,representation,comparison_condition,effect_metric,effect_mean_across_seeds,effect_seed_std,bootstrap_ci_low,bootstrap_ci_high,bootstrap_replicates,seeds,paired_queries_per_seed_min
sex,raw_features,oracle_group,balanced_accuracy_gain,0.0188899528002691,0.01192277118617957,0.006550982787159477,0.031843453136033886,2000,3,1000
sex,raw_features,link_selected_group,balanced_accuracy_gain,0.01626466169149036,0.013001504303619857,0.0035642183093236154,0.029548443285601963,2000,3,1000
sex,raw_features,random_group,balanced_accuracy_gain,-0.1282562334688565,0.009518259668511915,-0.14935313122287822,-0.10640910601660823,2000,3,1000
sex,encoder,oracle_group,balanced_accuracy_gain,0.027575461270983575,0.007981296443379996,0.008285378369072834,0.04672614855602697,2000,3,1000
sex,encoder,link_selected_group,balanced_accuracy_gain,0.0007994018104841386,0.004683967353328897,-0.016696344524860875,0.018580633456338393,2000,3,1000
sex,encoder,random_group,balanced_accuracy_gain,-0.044777542415386784,0.022703539108068695,-0.06732011752036124,-0.021871954605995433,2000,3,1000
sex,encoder_gaussian_noise,oracle_group,balanced_accuracy_gain,0.024459650714601433,0.007244402815768363,0.0038327078399517374,0.0435891434899218,2000,3,1000
sex,encoder_gaussian_noise,link_selected_group,balanced_accuracy_gain,-0.007519548959513678,0.004531128106570667,-0.024657932054440754,0.01025849430277061,2000,3,1000
sex,encoder_gaussian_noise,random_group,balanced_accuracy_gain,-0.013820237898955959,0.009395109163398814,-0.035804170677018805,0.00836025057662293,2000,3,1000
age_group,raw_features,oracle_group,balanced_accuracy_gain,0.018010348969189478,0.010370450805537359,0.004647403250828007,0.030941912809840513,2000,3,997
age_group,raw_features,link_selected_group,balanced_accuracy_gain,0.013364405088246508,0.010237081134692756,-0.00027519860919647526,0.02686516539634942,2000,3,997
age_group,raw_features,random_group,balanced_accuracy_gain,-0.1234804648128593,0.016437643600511052,-0.1438167543389201,-0.10134656961526996,2000,3,997
age_group,encoder,oracle_group,balanced_accuracy_gain,0.025403839383809895,0.007712783357174827,0.012451208262730032,0.038852883739446877,2000,3,997
age_group,encoder,link_selected_group,balanced_accuracy_gain,-0.006368763103996995,0.00181708004318477,-0.01713812507514144,0.005435205393399548,2000,3,997
age_group,encoder,random_group,balanced_accuracy_gain,-0.1161441203958778,0.012890465076824799,-0.13642101374630014,-0.09628932041834966,2000,3,997
age_group,encoder_gaussian_noise,oracle_group,balanced_accuracy_gain,0.03707856455234385,0.02134423609512251,0.022179319546050742,0.05215975698977388,2000,3,997
age_group,encoder_gaussian_noise,link_selected_group,balanced_accuracy_gain,-0.005831123439294002,0.0066699679080261766,-0.018042471953029188,0.005748183459216158,2000,3,997
age_group,encoder_gaussian_noise,random_group,balanced_accuracy_gain,-0.0973930938628363,0.0233609189552178,-0.11832907126674742,-0.07730149477972124,2000,3,997
age,raw_features,oracle_group,mae_reduction_years,0.4825686347861164,0.06972629112183899,0.34172042538646236,0.6249753337895584,2000,3,997
age,raw_features,link_selected_group,mae_reduction_years,0.4012770866389565,0.11494212895989818,0.26362079867517224,0.5322306185094744,2000,3,997
age,raw_features,random_group,mae_reduction_years,-3.140796999341125,0.461152387050015,-3.513291568022869,-2.789882915456127,2000,3,997
age,encoder,oracle_group,mae_reduction_years,0.8833400485638746,0.09332787965259079,0.71080113513267,1.0605054570669765,2000,3,997
age,encoder,link_selected_group,mae_reduction_years,-0.01061715571404894,0.11706421410637571,-0.14840875193609981,0.1304023628144721,2000,3,997
age,encoder,random_group,mae_reduction_years,-2.7586593510485016,0.34457999058517164,-3.1154714462343183,-2.4142580435132737,2000,3,997
age,encoder_gaussian_noise,oracle_group,mae_reduction_years,1.0470078938197507,0.09047428481154131,0.8416356040297929,1.2436853446163636,2000,3,997
age,encoder_gaussian_noise,link_selected_group,mae_reduction_years,-0.10164782442795033,0.12158710342280293,-0.25369410220639466,0.04968406653292815,2000,3,997
age,encoder_gaussian_noise,random_group,mae_reduction_years,-2.0431191926489,0.3183075387096789,-2.343071269983933,-1.7345601849606158,2000,3,997
